Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;HR;User_ID
63857159648153;446539;0;100;52;235a8f471d
63857159651420;449716;0;100;45;235a8f471d
63857159653237;451632;0;100;42;235a8f471d
63857159655569;453935;0;100;38;235a8f471d
63857159657853;456212;0;100;36;235a8f471d
63857159660787;459148;0;100;32;235a8f471d
63857159662337;460628;0;100;34;235a8f471d
63857159663119;461491;0;100;42;235a8f471d
63857159663537;461904;0;100;65;235a8f471d
63857159664237;462621;0;100;70;235a8f471d
63857159665169;463468;0;100;70;235a8f471d
63857159665603;463881;0;100;87;235a8f471d
63857159666303;464607;0;100;86;235a8f471d
63857159667503;465794;0;100;79;235a8f471d
63857159667854;466117;0;100;103;235a8f471d
63857159668403;466761;0;100;101;235a8f471d
63857159669653;467940;0;100;90;235a8f471d
63857159670269;468590;0;100;91;235a8f471d
63857159671469;469857;0;100;81;235a8f471d
63857159673587;471940;0;100;70;235a8f471d
63857159675054;473417;0;100;63;235a8f471d
63857159675520;473883;0;100;78;235a8f471d
63857159676453;474760;0;100;76;235a8f471d
63857159678704;476970;0;100;65;235a8f471d
63857159679337;477603;0;100;72;235a8f471d
63857159679837;478179;0;100;80;235a8f471d
63857159680687;478983;0;100;79;235a8f471d
63857159682220;480603;0;100;69;235a8f471d
63857159684770;483069;0;100;60;235a8f471d
63857159688120;486455;0;100;50;235a8f471d
63857159688724;487025;0;100;63;235a8f471d
63857159689587;487932;0;100;64;235a8f471d
63857159690404;488715;0;100;67;235a8f471d
63857159691220;489578;0;100;68;235a8f471d
63857159692854;491158;0;100;61;235a8f471d
63857159693437;491768;0;100;70;235a8f471d
63857159694987;493341;0;100;63;235a8f471d
63857159695887;494218;0;100;64;235a8f471d
63857159697320;495604;0;100;60;235a8f471d
63857159700170;498484;0;100;51;235a8f471d
63857159700671;499021;0;100;65;235a8f471d
63857159702687;501021;0;100;57;235a8f471d
63857159702920;501271;0;100;98;235a8f471d
63857159703937;502204;0;100;91;235a8f471d
63857159705154;503450;0;100;81;235a8f471d
63857159705570;503910;0;100;93;235a8f471d
63857159707987;506280;0;100;78;235a8f471d
63857159708987;507343;0;100;73;235a8f471d
63857159710238;508510;0;100;69;235a8f471d
63857159711137;509476;0;100;67;235a8f471d
63857159711754;510070;0;100;75;235a8f471d
63857159716037;514346;0;100;62;235a8f471d
63857159717320;515626;0;100;59;235a8f471d
63857159718054;516342;0;100;64;235a8f471d
63857159719556;517885;0;100;59;235a8f471d
63857159720071;518442;0;100;70;235a8f471d
63857159721454;519732;0;100;65;235a8f471d
63857159721854;520152;0;100;82;235a8f471d
63857159722454;520815;0;100;84;235a8f471d
63857159723554;521845;0;100;79;235a8f471d
63857159724487;522795;0;100;75;235a8f471d
63857159726021;524385;0;100;67;235a8f471d
63857159734221;532561;0;100;54;235a8f471d
63857159734621;532961;0;100;75;235a8f471d
