Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;IBI;User_ID
63857159648153;446539;0;100;1250;235a8f471d
63857159651420;449716;0;100;3130;235a8f471d
63857159653237;451632;0;100;1900;235a8f471d
63857159655569;453935;0;100;2270;235a8f471d
63857159657853;456212;0;100;2250;235a8f471d
63857159660787;459148;0;100;2900;235a8f471d
63857159662337;460628;0;100;1460;235a8f471d
63857159663119;461491;0;100;850;235a8f471d
63857159663537;461904;0;100;410;235a8f471d
63857159664237;462621;0;100;710;235a8f471d
63857159665169;463468;0;100;830;235a8f471d
63857159665603;463881;0;100;410;235a8f471d
63857159666303;464607;0;100;720;235a8f471d
63857159667503;465794;0;100;1170;235a8f471d
63857159667854;466117;0;100;320;235a8f471d
63857159668403;466761;0;100;640;235a8f471d
63857159669653;467940;0;100;1160;235a8f471d
63857159670269;468590;0;100;640;235a8f471d
63857159671469;469857;0;100;1260;235a8f471d
63857159673587;471940;0;100;2050;235a8f471d
63857159675054;473417;0;100;1460;235a8f471d
63857159675520;473883;0;100;460;235a8f471d
63857159676453;474760;0;100;870;235a8f471d
63857159678704;476970;0;100;2180;235a8f471d
63857159679337;477603;0;100;620;235a8f471d
63857159679837;478179;0;100;570;235a8f471d
63857159680687;478983;0;100;800;235a8f471d
63857159682220;480603;0;100;1600;235a8f471d
63857159684770;483069;0;100;2430;235a8f471d
63857159688120;486455;0;100;3350;235a8f471d
63857159688724;487025;0;100;560;235a8f471d
63857159689587;487932;0;100;890;235a8f471d
63857159690404;488715;0;100;780;235a8f471d
63857159691220;489578;0;100;850;235a8f471d
63857159692854;491158;0;100;1560;235a8f471d
63857159693437;491768;0;100;600;235a8f471d
63857159694987;493341;0;100;1560;235a8f471d
63857159695887;494218;0;100;860;235a8f471d
63857159697320;495604;0;100;1370;235a8f471d
63857159700170;498484;0;100;2840;235a8f471d
63857159700671;499021;0;100;530;235a8f471d
63857159702687;501021;0;100;1980;235a8f471d
63857159702920;501271;0;100;250;235a8f471d
63857159703937;502204;0;100;920;235a8f471d
63857159705154;503450;0;100;1230;235a8f471d
63857159705570;503910;0;100;450;235a8f471d
63857159707987;506280;0;100;2340;235a8f471d
63857159708987;507343;0;100;1050;235a8f471d
63857159710238;508510;0;100;1150;235a8f471d
63857159711137;509476;0;100;960;235a8f471d
63857159711754;510070;0;100;580;235a8f471d
63857159716037;514346;0;100;4230;235a8f471d
63857159717320;515626;0;100;1260;235a8f471d
63857159718054;516342;0;100;710;235a8f471d
63857159719556;517885;0;100;1520;235a8f471d
63857159720071;518442;0;100;550;235a8f471d
63857159721454;519732;0;100;1270;235a8f471d
63857159721854;520152;0;100;420;235a8f471d
63857159722454;520815;0;100;650;235a8f471d
63857159723554;521845;0;100;1020;235a8f471d
63857159724487;522795;0;100;940;235a8f471d
63857159726021;524385;0;100;1570;235a8f471d
63857159734221;532561;0;100;8070;235a8f471d
63857159734621;532961;0;100;400;235a8f471d
63857159734970;533317;0;100;350;235a8f471d
63857159738921;537240;0;100;3870;235a8f471d
63857159739521;537850;0;100;610;235a8f471d
63857159740087;538233;0;100;370;235a8f471d
63857159741488;539840;0;100;1590;235a8f471d
63857159742888;541246;0;100;1390;235a8f471d
63857159743637;541983;0;100;730;235a8f471d
63857159744520;542813;0;100;820;235a8f471d
63857159746271;544623;0;100;1780;235a8f471d
63857159746457;544820;0;100;200;235a8f471d
63857159746788;545136;0;100;310;235a8f471d
63857159747171;545516;0;100;370;235a8f471d
63857159749737;548029;0;100;2490;235a8f471d
63857159750121;548422;0;100;380;235a8f471d
63857159751054;549352;0;100;920;235a8f471d
63857159752221;550582;0;100;1220;235a8f471d
63857159753038;551355;0;100;760;235a8f471d
63857159754354;552645;0;100;1270;235a8f471d
63857159755254;553585;0;100;930;235a8f471d
63857159755854;554235;0;100;650;235a8f471d
63857159758488;556815;0;100;2540;235a8f471d
63857159759621;557915;0;100;1090;235a8f471d
63857159759921;558291;0;100;370;235a8f471d
63857159762888;561195;0;100;2870;235a8f471d
63857159763787;562154;0;100;950;235a8f471d
63857159764288;562601;0;100;440;235a8f471d
63857159764921;563234;0;100;620;235a8f471d
63857159766421;564754;0;100;1500;235a8f471d
63857159767721;566074;0;100;1310;235a8f471d
63857159768754;567087;0;100;1000;235a8f471d
63857159774372;572667;0;100;5510;235a8f471d
63857159774555;572867;0;100;190;235a8f471d
63857159775571;573930;0;100;1050;235a8f471d
63857159776288;574640;0;100;700;235a8f471d
63857159777591;575970;0;100;1320;235a8f471d
63857159777987;576300;0;100;320;235a8f471d
63857159778721;577039;0;100;730;235a8f471d
63857159780755;579066;0;100;2000;235a8f471d
63857159781754;580069;0;100;1000;235a8f471d
63857159783754;582066;0;100;1970;235a8f471d
63857159785688;584002;0;100;1910;235a8f471d
63857159786088;584442;0;100;430;235a8f471d
63857159788421;586745;0;100;2280;235a8f471d
