Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_amplitude_raw;User_ID
63856386073205;342382;0;100;0,377254;a4e491a559
63856386094201;362913;0;100;0,30552;a4e491a559
63856386094901;364313;0;100;0,067947;a4e491a559
63856386096104;365646;0;100;0,017535;a4e491a559
63856386096512;365913;0;100;0,109425;a4e491a559
63856386098827;368112;0;100;0,056229;a4e491a559
63856386100861;370245;0;100;0,06061;a4e491a559
63856386108394;377645;0;100;0,486706;a4e491a559
63856386110861;379644;0;100;0,913286;a4e491a559
63856386119236;388578;0;100;0,12416;a4e491a559
63856386130405;399576;0;100;0,185027;a4e491a559
63856386135927;404909;0;100;0,388461;a4e491a559
63856386136425;405709;0;100;0,712633;a4e491a559
63856386155094;424374;0;100;0,13754;a4e491a559
63856386155611;425174;0;100;0,029613;a4e491a559
63856386159994;429373;0;100;0,227608;a4e491a559
63856386167894;437373;0;100;0,075799;a4e491a559
63856386168627;437839;0;100;0,246398;a4e491a559
63856386172211;441505;0;100;0,336626;a4e491a559
63856386176912;445905;0;100;0,594088;a4e491a559
63856386178461;447838;0;100;0,366055;a4e491a559
63856386179560;449104;0;100;0,113663;a4e491a559
63856386187793;457371;0;100;0,147745;a4e491a559
63856386188227;457703;0;100;0,055117;a4e491a559
63856386190778;459970;0;100;0,162686;a4e491a559
63856386191178;460703;0;100;0,035273;a4e491a559
63856386197044;465836;0;100;0,550082;a4e491a559
63856386206227;475502;0;100;0,190165;a4e491a559
63856386207660;477168;0;100;0,005246;a4e491a559
63856386213861;483101;0;100;0,285161;a4e491a559
63856386214893;483635;0;100;9,051682;a4e491a559
63856386215127;484634;0;100;1,207605;a4e491a559
63856386215711;485101;0;100;4,332771;a4e491a559
63856386219560;488567;0;100;9969,854;a4e491a559
63856386305710;574959;1;100;9926,875;a4e491a559
63856386502192;771405;3;100;149,9002;a4e491a559
63856386515209;784404;-3;100;49,20093;a4e491a559
63856386516125;785137;-3;100;322,2485;a4e491a559
63856386538867;808402;4;100;1,453962;a4e491a559
63856386542225;811801;4;100;0,97748;a4e491a559
63856386544608;814068;4;100;5,170891;a4e491a559
63856386545125;814401;4;100;372,6252;a4e491a559
63856386549175;818267;4;100;9986,439;a4e491a559
63856386631675;901126;5;100;9546,632;a4e491a559
63856386690274;959720;5;100;79,89425;a4e491a559
63856386690590;960186;5;100;15,79311;a4e491a559
63856386691107;960520;5;100;80,36955;a4e491a559
63856386699107;968186;5;100;3,139595;a4e491a559
63856386699607;968852;5;100;11,32022;a4e491a559
63856386703873;973119;-5;100;1,431465;a4e491a559
63856386710667;980051;6;100;0,943699;a4e491a559
63856386711174;980452;6;100;5,219164;a4e491a559
63856386711373;980918;6;100;4,515345;a4e491a559
63856386721140;990517;6;100;9842,83;a4e491a559
63856386753706;1023113;6;100;3,61314;a4e491a559
63856386755635;1025180;6;100;7,513569;a4e491a559
63856386825239;1094773;7;100;7,686596;a4e491a559
63856386826372;1095973;7;100;115,2265;a4e491a559
63856386829573;1098906;7;100;9972,58;a4e491a559
63856386867872;1136902;7;100;8,91688;a4e491a559
63856386868805;1137636;7;100;20,27942;a4e491a559
63856386869105;1138635;7;100;4,503868;a4e491a559
63856386876434;1145435;7;100;52,52213;a4e491a559
63856386876772;1146235;7;100;13,08645;a4e491a559
63856386886105;1155234;-7;100;7,721593;a4e491a559
63856386887105;1156567;-7;100;159,3951;a4e491a559
63856386889839;1158501;-7;100;9967,765;a4e491a559
63856386944904;1213962;8;100;8,39454;a4e491a559
63856386951371;1220428;8;100;9,376707;a4e491a559
63856386960737;1230293;8;100;2,289968;a4e491a559
63856386965637;1235093;8;100;4,419645;a4e491a559
63856386974304;1243691;8;100;0,51378;a4e491a559
63856386987771;1256890;8;100;1,624268;a4e491a559
63856386989704;1259090;8;100;1,679912;a4e491a559
63856386991038;1260556;8;100;0,546937;a4e491a559
63856386998138;1267622;8;100;0,108838;a4e491a559
63856387001270;1270489;-8;100;3,53705;a4e491a559
63856387001671;1271155;-8;100;0,711006;a4e491a559
63856387004570;1274022;-8;100;0,238585;a4e491a559
