"row_name","RMSSD","SDNN","mean_HR","mean_IBI","mean_SCL_Raw","mean_SCR_amplitude_raw","mean_SCR_frequency_raw","mean_SCR_rise_time_raw","mean_Blink_rate_last_minute","mean_Saccade_amplitude_raw","mean_Saccade_velocity_raw"
"Cognitive Load",0.003,0.018,0.039,-0.043,0.022,-0.118,0.047,0.008,0.117,-0.125,-0.151
"Physical Load",0.056,0.079,0.013,0.001,-0.022,-0.069,0.008,0.051,0.11,-0.096,-0.109
