UserID,Gender,Age,Weight,Height,Trainingsversion,Cohort,BMI
9bc69d3da4,M,27,96,192,NonAdaptive,Dame,26.041666666666668
998f101ac0,F,25,48,157,Adaptive,Dame,19.473406629072173
e706b5f36e,M,32,101,192,Adaptive,Dame,27.39800347222222
deaa43e599,M,32,56,172,NonAdaptive,Dame,18.92915089237426
229f4576b9,F,31,56,158,NonAdaptive,Dame,22.432302515622492
66bb61393c,F,21,64,173,Adaptive,Dame,21.383941996057334
a144f91c89,M,21,73,187,NonAdaptive,Dame,20.875632703251448
a453d61137,M,25,105,187,NonAdaptive,Dame,30.026594984128796
505823420d,M,26,82,185,Adaptive,Dame,23.959094229364496
e2f2d05ef0,F,32,70,169,Adaptive,Dame,24.508945765204302
de0e13f252,M,25,76,180,NonAdaptive,Dame,23.456790123456788
e5b6272806,F,23,60,172,Adaptive,Dame,20.281233098972418
1c6e0ea7da,M,24,81,180,Adaptive,Dame,25
0a8d84e96a,M,35,78,180,NonAdaptive,Dame,24.074074074074073
235a8f471d,F,27,70,165,Adaptive,Dame,25.71166207529844
0c8862eb19,M,27,95,182,Adaptive,Dame,28.680111097693512
192cedabcf,F,24,53,160,NonAdaptive,Dame,20.703124999999996
f671189e62,F,28,59,165,NonAdaptive,Dame,21.6712580348944
cebce821a5,M,26,80,181,NonAdaptive,Dame,24.41927902078691
5546a2f355,M,25,65,182,Adaptive,Dame,19.623233908948194
70f1b2e31f,M,25,71,187,NonAdaptive,Dame,20.303697560696612
e7ced685f4,F,55,88,175,Adaptive,Dame,28.73469387755102
ddf0149910,M,23,100,183,NonAdaptive,Dame,29.860551225775623
6511a4907e,M,16,72,194,Adaptive,Dame,19.130619619513233
e99c3f87fd,M,26,112,190,Adaptive,Dame,31.02493074792244
edab8c7cb8,M,21,71,176,NonAdaptive,Dame,22.920971074380166
ed0fe57727,F,25,75,171,NonAdaptive,Dame,25.64891761567662
bbdd1709de,F,28,52,160,NonAdaptive,Dame,20.312499999999996
4195c2f34e,F,24,48,154,NonAdaptive,Dame,20.23950075898128
3939936f19,M,16,60,175,Adaptive,Dame,19.591836734693878
d268ec78d,F,49,57,173,Adaptive,Dame,19.045073340238563
286e5e46b,F,22,60,173,Control,Dame,20.04744562130375
63e3a3987a,M,45,80,176,Control,Dame,25.826446280991735
7af170fb81,F,20,60,173,Control,Dame,20.04744562130375
0acc86e50d,M,24,69,180,Control,Dame,21.296296296296294
0d59e34d3a,F,20,53,168,Control,Dame,18.77834467120182
324d7666d9,M,21,85,183,Control,Dame,25.381468541909282
c14f613a91,M,29,80,189,Control,Dame,22.395789591556788
fcc8a44442,M,25,78,184,Control,Dame,23.03875236294896
6c4488eb2c,M,19,63,174,Control,Dame,20.808561236623067
532237a6ce,M,25,85,192,Control,Dame,23.057725694444446
360e48bd16,M,25,67,179,Control,Dame,20.91070815517618
92a23e9310,M,23,80,191,Control,Dame,21.929223431375238
a366c60648,M,24,65,179,Control,Dame,20.286507911738084
82fa20dd16,M,20,68,191,Control,Dame,18.63983991666895
25554755d7,M,25,85,195,Control,Dame,22.353714661406972
066f09135d,M,19,65,170,Control,Dame,22.49134948096886
7b2fa6fef0,F,23,55,163,Control,Dame,20.70081674131507
68c1a07955,M,23,70,185,Control,Dame,20.45288531775018
617614bbe3,M,34,68,178,Control,Dame,21.461936624163616
6ea14800de,F,30,65,175,Control,Dame,21.224489795918366
9a141e8d17,F,25,60,180,Control,Dame,18.51851851851852
